CD_Models_name,CD_Models_value,CD_Scenarios_name,CD_Scenarios_value,CD_Year_name,CD_Year_value,SDM_Species_name,SDM_Species_value,SDM_models_name,SDM_models_value,SDM_models_out_name,SDM_models_out_value,DM_Models_name,DM_Models_value,LD_Variables_name,LD_Variables_value,DM_Variables_name,DM_Variables_value,DM_Variables_Landuse_name,DM_Variables_Landuse_value,DM_Variables_LanduseType_name,DM_Variables_LanduseType_value,CD_Variables_name,CD_Variables_value,SDM_Variables_name,SDM_Variables_value,SDM_Variables_selected_value,SDM_AO_Variables_name,SDM_AO_Variables_value,SDM_AO_Variables_selected_value,Range_Models_name,Range_Models_value,Hull_Types_name,Hull_Types_value,Hull_Cluster_Method_name,Hull_Cluster_Method_value,Hull_VoronoiHull_sampling_Type_name,Hull_VoronoiHull_sampling_Type_value,SA_Group1_name,SA_Group1_value,SA_Group2_name,SA_Group2_value,SA_Group3_name,SA_Group3_value,HA_Group_name,HA_Group_value,HA_Group1_name,HA_Group1_value,HA_Group2_name,HA_Group2_value,HA_VI_name,HA_VI_value,Image_File_name,Image_File_value,Image_Info_name,Image_Info_value
,KMA,RCP 4.5,RCP4.5,2000,2000,CSV File,CSV_File,GLM (Generalized Linear Model),GLM,GLM (Generalized Linear Model),GLM,Species Distribution Model (BIOMOD2),BIOMOD2,Landuse_ssp1,Landuse_ssp1,Landuse,Landuse,Landuse_ssp1,Landuse_ssp1,Urban,1,BIOCLIM 01 (Annual Mean Temperature),bio01,BIOCLIM 01 (Annual Mean Temperature),bio01.grd,bio01.grd,Species Distribution,Species,Species.grd,Buffer,Buffer,convex,convex,hierarchical,hierarchical,ratio,ratio,by Species,Species,by Species,Species,by Climate Model,Climate_Model,SIDO,SD,Distribution,Distribution,Map,Map,Vulnerability 1,HA_VI1,Native' R raster package format (.grd),.grd,GRID File only (.gri),.gri
KEI (Korea Environment Institute),KEI,RCP 8.5,RCP8.5,2010,2010,Data Table,Data_Table,GAM (Generalized Additive Model),GAM,GAM (Generalized Additive Model),GAM,Dispersal Model (MIGCLIM),MIGCLIM,Landuse_ssp2,Landuse_ssp2,Forest fire,Forestfire,Landuse_ssp2,Landuse_ssp2,Cropland,2,BIOCLIM 02 (Mean Diurnal Range (Mean of monthly (max temp - min temp))),bio02,BIOCLIM 02 (Mean Diurnal Range (Mean of monthly (max temp - min temp))),bio02.grd,bio02.grd,Species Richness,Habitat,Habitat.grd,Hull,Hull,concave,concave,k-means,k-means,size,size,by Climate Model,Climate_Model,by Climate Model,Climate_Model,by Climate Scenario,Climate_Scenario,SIGUNGU,SGG,SIDO,SD,Statistics,Statistics,Vulnerability 2,HA_VI2,GeoTiff (requires rgdal) (.tif),.tif,,
,,,,2020,2020,,,GBM (Generalized Boosting Model),GBM,GBM (Generalized Boosting Model),GBM,,,Landuse_ssp3,Landuse_ssp3,Landslide,Landslide,Landuse_ssp3,Landuse_ssp3,Forest,3,BIOCLIM 03 (Isothermality (BIO2/BIO7) (* 100)),bio03,BIOCLIM 03 (Isothermality (BIO2/BIO7) (* 100)),bio03.grd,bio03.grd,,,,voronoiHull,voronoiHull,,,,,,,by Climate Scenario,Climate_Scenario,by Climate Scenario,Climate_Scenario,by SDM Model,Model,National Park,NP,SIGUNGU,SGG,,,Vulnerability 3,HA_VI3,ESRI Ascii (.asc),.asc,,
,,,,2030,2030,,,CTA (Classification Tree Analysis),CTA,CTA (Classification Tree Analysis),CTA,,,Forest fire,Forestfire,,,,,Grassland,4,BIOCLIM 04 (Temperature Seasonality (standard deviation *100)),bio04,BIOCLIM 04 (Temperature Seasonality (standard deviation *100)),bio04.grd,bio12.grd,,,,,,,,,,,,by SDM Model,Model,by SDM Model,Model,by Year,Year,Baekdu Range,BR,National Park,NP,,,,,ENVI .hdr Labelled (.envi),.envi,,
,,,,2040,2040,,,ANN (Artificial Neural Network),ANN,ANN (Artificial Neural Network),ANN,,,Landslide,Landslide,,,,,Water,5,BIOCLIM 05 (Max Temperature of Warmest Month),bio05,BIOCLIM 05 (Max Temperature of Warmest Month),bio05.grd,bio13.grd,,,,,,,,,,,,by Year,Year,,,by Species,Species,DMZ,DMZ,Baekdu Range,BR,,,,,Erdas Imagine Images (.img) ,.img,,
,,,,2050,2050,,,SRE (Surface Range Envelop),SRE,SRE (Surface Range Envelop),SRE,,,,,,,,,Wetland,6,BIOCLIM 06 (Min Temperature of Coldest Month),bio06,BIOCLIM 06 (Min Temperature of Coldest Month),bio06.grd,bio14.grd,,,,,,,,,,,,,,,,,,Habitat,Habitat,DMZ,DMZ,,,,,,,,
,,,,2060,2060,,,FDA (Flexible Discriminant Analysis),FDA,FDA (Flexible Discriminant Analysis),FDA,,,,,,,,,River,7,BIOCLIM 07 (Temperature Annual Range (BIO5-BIO6)),bio07,BIOCLIM 07 (Temperature Annual Range (BIO5-BIO6)),bio07.grd,,,,,,,,,,,,,,,,,,,,,Habitat,Habitat,,,,,,,,
,,,,2070,2070,,,MARS (Multiple Adaptive Regression Splines),MARS,MARS (Multiple Adaptive Regression Splines),MARS,,,,,,,,,,,BIOCLIM 08 (Mean Temperature of Wettest Quarter),bio08,BIOCLIM 08 (Mean Temperature of Wettest Quarter),bio08.grd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2080,2080,,,RF (Random Forest),RF,RF (Random Forest),RF,,,,,,,,,,,BIOCLIM 09 (Mean Temperature of Driest Quarter),bio09,BIOCLIM 09 (Mean Temperature of Driest Quarter),bio09.grd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,MAXENT.Phillips,MAXENT.Phillips,MAXENT.Phillips,MAXENT.Phillips,,,,,,,,,,,BIOCLIM 10 (Mean Temperature of Warmest Quarter),bio10,BIOCLIM 10 (Mean Temperature of Warmest Quarter),bio10.grd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
