Variables,Type,Variables_name_ENG,Variables_name_KOR
SE_Name_Language,0,English,한국어
SE_Name_System,0,MOTIVE ECOSYSTEM (Climate Change Impact and Vulnerability Assessment Model),MOTIVE ECOSYSTEM (생태계 기후변화 영향 및 취약성 평가모형)
SE_Name_System_institute,0,National Institute of Ecology        since 2020,국립생태원        since 2020
SE_Name,0,Project Information,프로젝트 정보
SE_Name_WE,0,Working Environment,작업환경
SE_Name_WE_Project,0,Working Project,작업프로젝트
SE_Name_WE_Project_Action,0,Save a Project Information,프로젝트정보 저장
SE_Name_Dir_Project_Ecosystem,0,Introductuction,소개
SE_Name_Dir_Project_SDM,0,Species Assessment,생물종 평가
SE_Name_Dir_Project_SDM_OPTION,0,Modeling Options,모델링 옵션
SE_Name_Dir_Project_SDM_OUTPUT,0,Modeling Outputs,모델링 결과
SE_Name_Dir_Project_HA,0,Habitat Assessment,서식지 평가
SE_Name_Dir_Project_HA_OPTION,0,Modeling Options,모델링 옵션
SE_Name_Dir_Project_HA_OUTPUT,0,Modeling Outputs,모델링 결과
SE_Name_Dir_Project_VH,0,Vulnerable Habitat,취약서식지
SE_Name_Dir_Project_VH_OPTION,0,Modeling Options,모델링 옵션
SE_Name_Dir_Project_VH_OUTPUT,0,Modeling Outputs,모델링 결과
SE_Name_DE,0,Data Environment,데이터환경
SE_Name_DE_Climate,0,Climate Data Path,기후자료
SE_Name_DE_Link,0,Link Data Path,연계자료
SE_Name_DE_GIS,0,GIS Data Path,GIS자료
SE_Name_DE_Species,0,Species Data Path,생물종자료
SE_Name_DE_Species_Index,0,Select species index data (CSV file) Data Path,생물종정보 인덱스 자료 (CSV file)
SE_Name_DE_Species_Location,0,Select species location data (CSV file),생물종위치자료 (CSV file)
SP_Name,0,Species Data,생물종자료
SP_Name_Info,0,Species Information,생물종정보
SP_Name_Location,0,Species Location,생물종위치
LD_Name,0,Link Data,연계자료
LD_Name_Map,0,Map,지도
LD_Name_Summary,0,Summary,통계
LD_Name_Map_Landuse,0,Landuse Barrier Map,토지이용 장애물 지도
LD_Name_Map_Forestfire,0,Forestfire Barrier Map,산불 장애물 지도
LD_Name_Map_Landslide,0,Landslide Barrier Map,산사태 장애물 지도
LD_Name_Variables,0,Link Data,연계자료
LD_Name_Variables_list,1,LD_Variables_list,LD_Variables_list
LD_Name_Variables_selected,0,forestfire,forestfire
LD_Name_Models,0,Climate Models,기후모델
LD_Name_Models_list,1,CD_Models_list,CD_Models_list
